source,target,strength,month,weight
AUS,PRK,-2,0,2.0
ISR,SAU,-2,0,2.0
SAU,CHE,2,0,2.0
FRA,TUR,-2,0,2.0
SYR,SEA,-2,0,2.0
GBR,WAF,-2,0,2.0
CAN,PRK,-2,0,2.0
EGY,SAU,-2,0,2.0
IDN,GBR,-2,0,2.0
HUN,GBR,-2,0,2.0
LBN,IDN,-2,0,2.0
JOR,FRA,2,0,2.0
SAU,GBR,-2,0,2.0
DEU,SYR,-2,0,2.0
JOR,YEM,-2,0,2.0
SYR,EUR,-2,0,2.0
IRQ,AUS,-2,0,2.0
PAK,IDN,-2,0,2.0
AUS,UKR,-2,0,2.0
SAU,IDN,-2,0,2.0
CHE,IRQ,2,0,2.0
IRN,CHE,2,0,2.0
ITA,ARG,-2,0,2.0
CZE,EUR,-2,0,2.0
SWE,FIN,-2,0,2.0
AUS,ARE,-2,0,2.0
AUS,GRC,-2,0,2.0
GBR,GIN,2,0,2.0
PAK,USA,1.9875,0,1.9875
AUS,FRA,1.966666667,0,1.966666667
USA,SAU,1.956521739,0,1.956521739
GBR,KOR,1.95,0,1.95
GBR,THA,1.9,0,1.9
SYR,AUS,1.9,0,1.9
AUS,CAN,1.9,0,1.9
IDN,SGP,1.9,0,1.9
IRQ,GRC,1.9,0,1.9
CUB,CRI,1.9,0,1.9
COL,PAN,1.9,0,1.9
HUN,SWE,1.9,0,1.9
RUS,EUR,1.9,0,1.9
SLE,GIN,1.9,0,1.9
IRN,MCO,1.9,0,1.9
SYR,URY,1.9,0,1.9
HUN,DEU,1.9,0,1.9
JPN,PER,1.9,0,1.9
JPN,POL,1.9,0,1.9
EUR,DZA,1.9,0,1.9
JOR,AUS,1.9,0,1.9
JOR,DNK,1.9,0,1.9
GBR,EST,1.9,0,1.9
CUB,FRA,1.9,0,1.9
DEU,CHE,1.9,0,1.9
IDN,PHL,1.9,0,1.9
CAN,IND,1.9,0,1.9
USA,NMR,1.9,0,1.9
USA,JAM,1.9,0,1.9
BRA,USA,1.9,0,1.9
IRN,VAT,1.9,0,1.9
JPN,DEU,1.9,0,1.9
KEN,GAB,1.9,0,1.9
TUR,ITA,1.9,0,1.9
CAN,SYR,1.9,0,1.9
USA,SOM,1.9,0,1.9
DEU,BRA,1.9,0,1.9
COL,VEN,1.9,0,1.9
AFR,SLE,1.9,0,1.9
CHL,USA,1.9,0,1.9
SAU,DNK,1.9,0,1.9
PAN,CRI,1.9,0,1.9
CZE,ESP,1.9,0,1.9
MYS,NLD,1.9,0,1.9
COL,SLV,1.9,0,1.9
AFG,IRN,1.9,0,1.9
LKA,GBR,1.9,0,1.9
COL,GTM,1.9,0,1.9
OMN,THA,1.9,0,1.9
BRN,TWN,1.9,0,1.9
COL,CRI,1.9,0,1.9
GBR,POL,1.9,0,1.9
VAT,SYR,1.9,0,1.9
COL,USA,1.9,0,1.9
COL,CUB,1.9,0,1.9
AUS,VNM,1.9,0,1.9
ARM,GRC,1.9,0,1.9
ISR,NLD,1.9,0,1.9
PRT,ESP,1.9,0,1.9
KAZ,EUR,1.9,0,1.9
ITA,JOR,1.9,0,1.9
IRN,LAO,1.9,0,1.9
CHN,SAU,1.9,0,1.9
IDN,THA,1.9,0,1.9
AUS,TUR,1.9,0,1.9
COL,HTI,1.9,0,1.9
RUS,CAN,1.9,0,1.9
FIN,GBR,1.9,0,1.9
CUB,ECU,1.9,0,1.9
VNM,EUR,1.9,0,1.9
SUR,GUY,1.9,0,1.9
COL,MEX,1.9,0,1.9
COL,HND,1.9,0,1.9
CAN,AFR,1.9,0,1.9
FRA,GIN,1.9,0,1.9
JPN,LAO,1.9,0,1.9
BEL,FRA,1.9,0,1.9
USA,BRN,1.9,0,1.9
KHM,CHN,1.9,0,1.9
COL,PRY,1.9,0,1.9
WST,POL,1.9,0,1.9
COL,FRA,1.9,0,1.9
MDV,GBR,1.9,0,1.9
GBR,CZE,1.9,0,1.9
ISR,JOR,1.9,0,1.9
USA,GRC,1.9,0,1.9
FRA,LVA,1.9,0,1.9
MMR,AUS,1.9,0,1.9
CYM,SGP,1.9,0,1.9
IRN,ITA,1.9,0,1.9
DNK,DEU,1.875,0,1.875
COL,BRA,1.85,0,1.85
USA,MEX,1.845,0,1.845
CHN,USA,1.8,0,1.8
ZAF,GBR,-1.8,0,1.8
IRN,JOR,1.793333333,0,1.793333333
AFR,USA,1.783333333,0,1.783333333
SOM,KEN,-1.775,0,1.775
CHN,VNM,-1.739130435,0,1.739130435
SYR,TUR,-1.730769231,0,1.730769231
DEU,TUN,1.7,0,1.7
GBR,ARG,-1.7,0,1.7
CHE,GBR,1.7,0,1.7
AUS,USA,1.685714286,0,1.685714286
DNK,SWE,1.683333333,0,1.683333333
KOR,PRK,-1.675675676,0,1.675675676
EGY,IRN,1.6,0,1.6
MYS,EUR,1.6,0,1.6
VAT,JOR,1.6,0,1.6
CHN,PHL,1.6,0,1.6
AFG,PAK,1.582352941,0,1.582352941
THA,CHN,1.566666667,0,1.566666667
USA,BRA,-1.56,0,1.56
THA,SGP,1.55,0,1.55
PHL,IDN,-1.52,0,1.52
JOR,ITA,1.5,0,1.5
FJI,AUS,1.5,0,1.5
USA,ARE,-1.5,0,1.5
MAR,MEX,1.5,0,1.5
GRC,TUR,1.49,0,1.49
USA,COL,-1.48,0,1.48
USA,LBY,1.475,0,1.475
JOR,VAT,1.45,0,1.45
EUR,FRA,-1.45,0,1.45
CHN,THA,-1.433333333,0,1.433333333
TUR,SYR,-1.42,0,1.42
NZL,USA,1.4,0,1.4
GBR,FRA,1.366666667,0,1.366666667
TUR,SAU,1.35,0,1.35
RUS,USA,1.35,0,1.35
TUR,CYP,1.32,0,1.32
