Actor1CountryCode,Actor2CountryCode,GoldsteinScale,Month
KOR,MDA,6.4,0
TJK,CAN,6.4,0
CAS,UKR,6.4,0
BHS,TUR,6.4,0
KOR,SDN,6.4,0
IDN,UKR,6.4,0
IRQ,ETH,6.4,0
LKA,YEM,6.4,0
BGD,BEL,6.4,0
NAM,EUR,6.4,0
PER,EUR,6.4,0
KWT,THA,6.4,0
DNK,VNM,6.4,0
SLE,SAU,6.4,0
BHS,GUY,6.4,0
MEX,TWN,6.4,0
TWN,MEX,6.4,0
NPL,ETH,6.4,0
CAN,URY,6.4,0
AFR,UKR,6.4,0
TWN,PGS,6.4,0
BFA,IND,6.4,0
BGD,ESP,6.4,0
DZA,IRL,6.4,0
NMR,ECU,6.4,0
DZA,ITA,6.4,0
LKA,ETH,6.4,0
BGR,SAU,6.4,0
VNM,PAK,6.4,0
SAU,NLD,6.4,0
SLE,GHA,6.4,0
BGD,ETH,6.4,0
PAK,NER,6.4,0
NMR,HTI,6.4,0
GIN,UKR,6.4,0
TWN,BGD,6.4,0
LTU,IRL,6.4,0
PAK,ARM,6.4,0
BGR,COL,6.4,0
POL,KAZ,6.4,0
KOR,KAZ,6.4,0
MYS,PNG,6.4,0
HRV,QAT,6.4,0
IND,PGS,6.4,0
TKM,ARM,6.4,0
KOR,KGZ,6.4,0
NMR,BRA,6.4,0
ETH,SEA,6.4,0
BGD,ITA,6.4,0
SWZ,KEN,6.4,0
SUR,AFR,6.4,0
COG,AGO,6.4,0
PAN,SYR,6.4,0
MOZ,SDN,6.4,0
AFG,ARM,6.4,0
JPN,HRV,6.4,0
AFG,KAZ,6.4,0
NLD,PAN,6.4,0
KNA,FRA,6.4,0
AUT,MMR,6.4,0
IDN,MNG,6.4,0
MLI,UKR,6.4,0
ZAF,SGP,6.4,0
GIN,PER,6.4,0
BGD,NZL,6.4,0
PAN,CHL,6.4,0
SEA,COL,6.4,0
IDN,TUN,6.4,0
NIC,IRN,6.4,0
MKD,SWE,6.4,0
ITA,DZA,6.4,0
NMR,PER,6.4,0
NER,UKR,6.4,0
BRA,CPV,6.4,0
IRL,LTU,6.4,0
ECU,EUR,6.4,0
BRA,IDN,6.4,0
CYM,HND,6.4,0
LVA,FIN,6.4,0
