Actor1CountryCode,Actor2CountryCode,Strength,Month
MEX,USA,1.324323141,5
DEU,USA,3.972855486,5
PAK,AFG,1.36024325,5
USA,DEU,4.637808288,5
AUS,USA,3.25512866,5
IRQ,USA,-0.979818681,5
SYR,USA,1.807014569,5
ZAF,AFR,-0.60850813,5
AFG,PAK,0.615658591,5
USA,AFR,1.387251839,5
TUR,RUS,-3.278872595,5
USA,AFG,1.295430823,5
USA,AUS,3.858420766,5
AFR,USA,0.931739096,5
SYR,RUS,1.10298826,5
RUS,TUR,-1.880050877,5
USA,EUR,5.055572693,5
GBR,FRA,5.220597736,5
FRA,GBR,5.29843808,5
DEU,FRA,7.634475876,5
FRA,DEU,7.48383715,5
SYR,TUR,-0.841512527,5
CHN,JPN,3.876367574,5
RUS,IRN,7.689742479,5
SAU,YEM,-8.368738574,5
AFR,ZAF,1.85741167,5
ISR,IRN,-1.598707735,5
EUR,USA,4.581346378,5
JPN,CHN,4.190420151,5
USA,TUR,3.026184763,5
RUS,CHN,8.490337034,5
AFG,USA,-1.661107392,5
USA,PAK,2.659248909,5
USA,SAU,3.602878958,5
CHN,RUS,8.594180026,5
USA,ITA,4.106709034,5
ITA,USA,3.669945197,5
FRA,RUS,7.491621622,5
TUR,USA,2.84064416,5
GBR,CHN,8.248738063,5
IRN,RUS,8.259627045,5
SAU,USA,2.033625887,5
GBR,SYR,0.67692926,5
IRN,SYR,3.544738987,5
IRN,ISR,-0.309105795,5
CHN,GBR,7.962195561,5
RUS,FRA,7.663844861,5
DEU,RUS,6.651434081,5
IRQ,SYR,-3.559280517,5
SYR,IRQ,-3.373410733,5
PAK,USA,2.13651834,5
IRL,GBR,3.245480483,5
GBR,EUR,5.166227265,5
GBR,IRL,3.542316523,5
USA,VNM,3.64870697,5
USA,UKR,4.227000902,5
YEM,SAU,-5.755767548,5
GBR,DEU,6.122836538,5
GBR,RUS,3.271051329,5
RUS,DEU,7.570620117,5
IRN,SAU,-1.033506625,5
DEU,GBR,6.384447426,5
GRC,EUR,5.291165256,5
VNM,USA,2.339266072,5
IRN,IRQ,1.658202568,5
IRL,USA,3.361109783,5
DEU,GRC,4.180773829,5
USA,ESP,3.720769525,5
KOR,JPN,5.831347225,5
ESP,USA,2.493847064,5
CHN,PAK,8.217451496,5
USA,IRL,3.185255932,5
LBN,SYR,-2.796705812,5
KOR,PRK,0.533765065,5
EUR,GRC,5.662448959,5
SAU,IRN,-0.780155701,5
EUR,RUS,0.778993154,5
USA,EGY,2.864299701,5
RUS,GBR,4.433821248,5
DEU,EUR,3.894487488,5
JOR,USA,0.006902711,5
PRK,KOR,-1.079302474,5
GRC,USA,2.708827279,5
AUS,GBR,4.148946542,5
PAK,CHN,8.412863504,5
CHN,TWN,5.134561907,5
USA,GRC,3.557819225,5
GBR,AUS,4.385873007,5
AUS,IDN,0.961308589,5
RUS,EUR,3.545578575,5
JPN,KOR,6.934443944,5
IRQ,IRN,0.88917255,5
EGY,USA,1.710397779,5
TWN,CHN,5.863553856,5
FRA,SYR,-3.145674642,5
IDN,AUS,-1.440583357,5
TUR,IRQ,-1.756356079,5
IND,PAK,-0.26505864,5
CAN,GBR,3.713209189,5
AUS,NZL,4.126145271,5
SYR,IRN,-0.076209044,5
USA,KOR,4.618567269,5
USA,NGA,3.974501341,5
ISR,SYR,-8.231246718,5
KOR,USA,4.782363285,5
EUR,GBR,5.583233533,5
USA,PHL,4.282928137,5
PHL,USA,3.778347167,5
GBR,CAN,4.015060684,5
SYR,LBN,-2.587259021,5
USA,JOR,1.249428518,5
SYR,GBR,0.572527128,5
FRA,EUR,2.298693852,5
NGA,USA,3.516404582,5
NZL,AUS,4.628249174,5
AUS,CHN,7.042118628,5
PAK,IND,0.335829681,5
CHN,KOR,6.858788278,5
KOR,CHN,7.327598114,5
PHL,CHN,-0.03432377,5
GRC,DEU,4.915039799,5
RUS,EGY,2.188560964,5
IRQ,TUR,-0.187620269,5
ISR,PSE,-7.558858808,6
USA,CHN,4.671059679,6
GBR,USA,3.43645741,6
USA,GBR,3.761095152,6
USA,IRN,3.098378432,6
CHN,USA,4.543376807,6
PSE,ISR,-7.299742679,6
USA,RUS,2.161364962,6
USA,ISR,2.363372942,6
IRN,USA,2.449372989,6
USA,FRA,2.909320313,6
RUS,UKR,-0.761441717,6
USA,SYR,1.449170205,6
RUS,USA,2.886121518,6
FRA,USA,2.959980904,6
RUS,SYR,-1.854254223,6
USA,CAN,3.581925666,6
CAN,USA,3.598122933,6
ISR,USA,2.163559399,6
UKR,RUS,-0.637624444,6
USA,CUB,6.646264923,6
USA,IRQ,0.519977118,6
CUB,USA,6.393397321,6
USA,JPN,3.635405795,6
USA,MEX,1.834063628,6
JPN,USA,3.83081534,6
TUR,SYR,-3.631186856,6
MEX,USA,1.324323141,6
DEU,USA,3.972855486,6
PAK,AFG,1.36024325,6
USA,DEU,4.637808288,6
AUS,USA,3.25512866,6
IRQ,USA,-0.979818681,6
SYR,USA,1.807014569,6
ZAF,AFR,-0.60850813,6
AFG,PAK,0.615658591,6
USA,AFR,1.387251839,6
TUR,RUS,-3.278872595,6
USA,AFG,1.295430823,6
USA,AUS,3.858420766,6
AFR,USA,0.931739096,6
SYR,RUS,1.10298826,6
RUS,TUR,-1.880050877,6
USA,EUR,5.055572693,6
GBR,FRA,5.220597736,6
FRA,GBR,5.29843808,6
DEU,FRA,7.634475876,6
FRA,DEU,7.48383715,6
SYR,TUR,-0.841512527,6
CHN,JPN,3.876367574,6
RUS,IRN,7.689742479,6
SAU,YEM,-8.368738574,6
AFR,ZAF,1.85741167,6
ISR,IRN,-1.598707735,6
EUR,USA,4.581346378,6
JPN,CHN,4.190420151,6
USA,TUR,3.026184763,6
RUS,CHN,8.490337034,6
AFG,USA,-1.661107392,6
USA,PAK,2.659248909,6
USA,SAU,3.602878958,6
CHN,RUS,8.594180026,6
USA,ITA,4.106709034,6
ITA,USA,3.669945197,6
FRA,RUS,7.491621622,6
TUR,USA,2.84064416,6
GBR,CHN,8.248738063,6
IRN,RUS,8.259627045,6
SAU,USA,2.033625887,6
GBR,SYR,0.67692926,6
IRN,SYR,3.544738987,6
IRN,ISR,-0.309105795,6
CHN,GBR,7.962195561,6
RUS,FRA,7.663844861,6
DEU,RUS,6.651434081,6
IRQ,SYR,-3.559280517,6
SYR,IRQ,-3.373410733,6
PAK,USA,2.13651834,6
IRL,GBR,3.245480483,6
